check_id,scope,candidate_cell_id,observed_value,expected_rule,status,blocking,detail
g_event_count_nonincreasing,r2_s_pct_w120_qt25_primary:d=2,,0,=0,passed,True,parameter_invariant_profile
g_event_count_nonincreasing,r2_s_pct_w250_q20_shared:d=2,,0,=0,passed,True,parameter_invariant_profile
g_event_count_nonincreasing,r2_s_pcvt_w120_q20_shared:d=2,,0,=0,passed,True,parameter_invariant_profile
g_event_count_nonincreasing,r2_s_pct_w120_q20_shared:d=2,,0,=0,passed,True,parameter_invariant_profile
g_event_count_nonincreasing,r2_s_pct_w250_qt25_primary:d=2,,0,=0,passed,True,parameter_invariant_profile
g_event_count_nonincreasing,r2_s_pct_w250_qt25_primary:d=3,,0,=0,passed,True,parameter_invariant_profile
g_event_count_nonincreasing,r2_s_pcvt_w250_q20_shared:d=2,,0,=0,passed,True,parameter_invariant_profile
g_event_count_nonincreasing,r2_s_pcvt_w120_qv30_primary:d=1,,0,=0,passed,True,parameter_invariant_profile
g_event_count_nonincreasing,r2_s_pct_w250_qt25_primary:d=1,,0,=0,passed,True,parameter_invariant_profile
g_event_count_nonincreasing,r2_s_pcvt_w250_q20_shared:d=3,,0,=0,passed,True,parameter_invariant_profile
g_event_count_nonincreasing,r2_s_pcvt_w250_qv30_primary:d=2,,0,=0,passed,True,parameter_invariant_profile
g_event_count_nonincreasing,r2_s_pcvt_w250_qv30_primary:d=3,,0,=0,passed,True,parameter_invariant_profile
g_event_count_nonincreasing,r2_s_pcvt_w120_q20_shared:d=1,,0,=0,passed,True,parameter_invariant_profile
g_event_count_nonincreasing,r2_s_pcvt_w250_q20_shared:d=1,,0,=0,passed,True,parameter_invariant_profile
g_event_count_nonincreasing,r2_s_pcvt_w120_qv30_primary:d=3,,0,=0,passed,True,parameter_invariant_profile
g_event_count_nonincreasing,r2_s_pcvt_w120_q20_shared:d=3,,0,=0,passed,True,parameter_invariant_profile
g_event_count_nonincreasing,r2_s_pct_w250_q20_shared:d=3,,0,=0,passed,True,parameter_invariant_profile
g_event_count_nonincreasing,r2_s_pcvt_w120_qv30_primary:d=2,,0,=0,passed,True,parameter_invariant_profile
g_event_count_nonincreasing,r2_s_pct_w120_q20_shared:d=1,,0,=0,passed,True,parameter_invariant_profile
g_event_count_nonincreasing,r2_s_pct_w250_q20_shared:d=1,,0,=0,passed,True,parameter_invariant_profile
g_event_count_nonincreasing,r2_s_pcvt_w250_qv30_primary:d=1,,0,=0,passed,True,parameter_invariant_profile
g_event_count_nonincreasing,r2_s_pct_w120_qt25_primary:d=1,,0,=0,passed,True,parameter_invariant_profile
g_event_count_nonincreasing,r2_s_pct_w120_qt25_primary:d=3,,0,=0,passed,True,parameter_invariant_profile
g_bridge_count_nondecreasing,r2_s_pct_w120_qt25_primary:d=1,,0,=0,passed,True,parameter_invariant_profile
g_bridge_count_nondecreasing,r2_s_pct_w120_qt25_primary:d=3,,0,=0,passed,True,parameter_invariant_profile
g_bridge_count_nondecreasing,r2_s_pcvt_w250_q20_shared:d=3,,0,=0,passed,True,parameter_invariant_profile
g_bridge_count_nondecreasing,r2_s_pcvt_w250_qv30_primary:d=2,,0,=0,passed,True,parameter_invariant_profile
g_bridge_count_nondecreasing,r2_s_pcvt_w250_qv30_primary:d=3,,0,=0,passed,True,parameter_invariant_profile
g_bridge_count_nondecreasing,r2_s_pcvt_w120_q20_shared:d=1,,0,=0,passed,True,parameter_invariant_profile
g_bridge_count_nondecreasing,r2_s_pcvt_w250_q20_shared:d=1,,0,=0,passed,True,parameter_invariant_profile
g_bridge_count_nondecreasing,r2_s_pct_w120_q20_shared:d=3,,0,=0,passed,True,parameter_invariant_profile
g_bridge_count_nondecreasing,r2_s_pct_w120_qt25_primary:d=2,,0,=0,passed,True,parameter_invariant_profile
g_bridge_count_nondecreasing,r2_s_pct_w250_q20_shared:d=2,,0,=0,passed,True,parameter_invariant_profile
g_bridge_count_nondecreasing,r2_s_pcvt_w120_q20_shared:d=2,,0,=0,passed,True,parameter_invariant_profile
g_bridge_count_nondecreasing,r2_s_pct_w120_q20_shared:d=2,,0,=0,passed,True,parameter_invariant_profile
g_bridge_count_nondecreasing,r2_s_pct_w250_qt25_primary:d=2,,0,=0,passed,True,parameter_invariant_profile
g_bridge_count_nondecreasing,r2_s_pct_w250_qt25_primary:d=3,,0,=0,passed,True,parameter_invariant_profile
g_bridge_count_nondecreasing,r2_s_pcvt_w250_q20_shared:d=2,,0,=0,passed,True,parameter_invariant_profile
g_bridge_count_nondecreasing,r2_s_pcvt_w120_qv30_primary:d=1,,0,=0,passed,True,parameter_invariant_profile
g_bridge_count_nondecreasing,r2_s_pct_w250_qt25_primary:d=1,,0,=0,passed,True,parameter_invariant_profile
g_bridge_count_nondecreasing,r2_s_pcvt_w120_qv30_primary:d=3,,0,=0,passed,True,parameter_invariant_profile
g_bridge_count_nondecreasing,r2_s_pcvt_w120_q20_shared:d=3,,0,=0,passed,True,parameter_invariant_profile
g_bridge_count_nondecreasing,r2_s_pct_w250_q20_shared:d=3,,0,=0,passed,True,parameter_invariant_profile
g_bridge_count_nondecreasing,r2_s_pcvt_w120_qv30_primary:d=2,,0,=0,passed,True,parameter_invariant_profile
g_bridge_count_nondecreasing,r2_s_pct_w120_q20_shared:d=1,,0,=0,passed,True,parameter_invariant_profile
g_bridge_count_nondecreasing,r2_s_pct_w250_q20_shared:d=1,,0,=0,passed,True,parameter_invariant_profile
g_bridge_count_nondecreasing,r2_s_pcvt_w250_qv30_primary:d=1,,0,=0,passed,True,parameter_invariant_profile
g_bridged_days_nondecreasing,r2_s_pct_w120_q20_shared:d=3,,0,=0,passed,True,parameter_invariant_profile
g_bridged_days_nondecreasing,r2_s_pct_w120_qt25_primary:d=2,,0,=0,passed,True,parameter_invariant_profile
g_bridged_days_nondecreasing,r2_s_pct_w250_q20_shared:d=2,,0,=0,passed,True,parameter_invariant_profile
g_bridged_days_nondecreasing,r2_s_pcvt_w120_q20_shared:d=2,,0,=0,passed,True,parameter_invariant_profile
g_bridged_days_nondecreasing,r2_s_pct_w120_q20_shared:d=2,,0,=0,passed,True,parameter_invariant_profile
g_bridged_days_nondecreasing,r2_s_pct_w250_qt25_primary:d=2,,0,=0,passed,True,parameter_invariant_profile
g_bridged_days_nondecreasing,r2_s_pct_w250_qt25_primary:d=3,,0,=0,passed,True,parameter_invariant_profile
g_bridged_days_nondecreasing,r2_s_pcvt_w250_q20_shared:d=2,,0,=0,passed,True,parameter_invariant_profile
g_bridged_days_nondecreasing,r2_s_pcvt_w120_qv30_primary:d=1,,0,=0,passed,True,parameter_invariant_profile
g_bridged_days_nondecreasing,r2_s_pct_w250_qt25_primary:d=1,,0,=0,passed,True,parameter_invariant_profile
g_bridged_days_nondecreasing,r2_s_pct_w120_qt25_primary:d=1,,0,=0,passed,True,parameter_invariant_profile
g_bridged_days_nondecreasing,r2_s_pct_w120_qt25_primary:d=3,,0,=0,passed,True,parameter_invariant_profile
g_bridged_days_nondecreasing,r2_s_pcvt_w250_q20_shared:d=3,,0,=0,passed,True,parameter_invariant_profile
g_bridged_days_nondecreasing,r2_s_pcvt_w250_qv30_primary:d=2,,0,=0,passed,True,parameter_invariant_profile
g_bridged_days_nondecreasing,r2_s_pcvt_w250_qv30_primary:d=3,,0,=0,passed,True,parameter_invariant_profile
g_bridged_days_nondecreasing,r2_s_pcvt_w120_q20_shared:d=1,,0,=0,passed,True,parameter_invariant_profile
g_bridged_days_nondecreasing,r2_s_pcvt_w250_q20_shared:d=1,,0,=0,passed,True,parameter_invariant_profile
g_bridged_days_nondecreasing,r2_s_pcvt_w120_qv30_primary:d=3,,0,=0,passed,True,parameter_invariant_profile
g_bridged_days_nondecreasing,r2_s_pcvt_w120_q20_shared:d=3,,0,=0,passed,True,parameter_invariant_profile
g_bridged_days_nondecreasing,r2_s_pct_w250_q20_shared:d=3,,0,=0,passed,True,parameter_invariant_profile
g_bridged_days_nondecreasing,r2_s_pcvt_w120_qv30_primary:d=2,,0,=0,passed,True,parameter_invariant_profile
g_bridged_days_nondecreasing,r2_s_pct_w120_q20_shared:d=1,,0,=0,passed,True,parameter_invariant_profile
g_bridged_days_nondecreasing,r2_s_pct_w250_q20_shared:d=1,,0,=0,passed,True,parameter_invariant_profile
g_bridged_days_nondecreasing,r2_s_pcvt_w250_qv30_primary:d=1,,0,=0,passed,True,parameter_invariant_profile
g_zone_coverage_nondecreasing,r2_s_pct_w120_qt25_primary:d=1,,0,=0,passed,True,parameter_invariant_profile
g_zone_coverage_nondecreasing,r2_s_pct_w120_qt25_primary:d=3,,0,=0,passed,True,parameter_invariant_profile
g_zone_coverage_nondecreasing,r2_s_pcvt_w250_q20_shared:d=3,,0,=0,passed,True,parameter_invariant_profile
g_zone_coverage_nondecreasing,r2_s_pcvt_w250_qv30_primary:d=2,,0,=0,passed,True,parameter_invariant_profile
g_zone_coverage_nondecreasing,r2_s_pcvt_w250_qv30_primary:d=3,,0,=0,passed,True,parameter_invariant_profile
g_zone_coverage_nondecreasing,r2_s_pcvt_w120_q20_shared:d=1,,0,=0,passed,True,parameter_invariant_profile
g_zone_coverage_nondecreasing,r2_s_pcvt_w250_q20_shared:d=1,,0,=0,passed,True,parameter_invariant_profile
g_zone_coverage_nondecreasing,r2_s_pcvt_w120_qv30_primary:d=3,,0,=0,passed,True,parameter_invariant_profile
g_zone_coverage_nondecreasing,r2_s_pcvt_w120_q20_shared:d=3,,0,=0,passed,True,parameter_invariant_profile
g_zone_coverage_nondecreasing,r2_s_pct_w250_q20_shared:d=3,,0,=0,passed,True,parameter_invariant_profile
g_zone_coverage_nondecreasing,r2_s_pcvt_w120_qv30_primary:d=2,,0,=0,passed,True,parameter_invariant_profile
g_zone_coverage_nondecreasing,r2_s_pct_w120_q20_shared:d=1,,0,=0,passed,True,parameter_invariant_profile
g_zone_coverage_nondecreasing,r2_s_pct_w250_q20_shared:d=1,,0,=0,passed,True,parameter_invariant_profile
g_zone_coverage_nondecreasing,r2_s_pcvt_w250_qv30_primary:d=1,,0,=0,passed,True,parameter_invariant_profile
g_zone_coverage_nondecreasing,r2_s_pct_w120_q20_shared:d=3,,0,=0,passed,True,parameter_invariant_profile
g_zone_coverage_nondecreasing,r2_s_pct_w120_qt25_primary:d=2,,0,=0,passed,True,parameter_invariant_profile
g_zone_coverage_nondecreasing,r2_s_pct_w250_q20_shared:d=2,,0,=0,passed,True,parameter_invariant_profile
g_zone_coverage_nondecreasing,r2_s_pcvt_w120_q20_shared:d=2,,0,=0,passed,True,parameter_invariant_profile
g_zone_coverage_nondecreasing,r2_s_pct_w120_q20_shared:d=2,,0,=0,passed,True,parameter_invariant_profile
g_zone_coverage_nondecreasing,r2_s_pct_w250_qt25_primary:d=2,,0,=0,passed,True,parameter_invariant_profile
g_zone_coverage_nondecreasing,r2_s_pct_w250_qt25_primary:d=3,,0,=0,passed,True,parameter_invariant_profile
g_zone_coverage_nondecreasing,r2_s_pcvt_w250_q20_shared:d=2,,0,=0,passed,True,parameter_invariant_profile
g_zone_coverage_nondecreasing,r2_s_pcvt_w120_qv30_primary:d=1,,0,=0,passed,True,parameter_invariant_profile
g_zone_coverage_nondecreasing,r2_s_pct_w250_qt25_primary:d=1,,0,=0,passed,True,parameter_invariant_profile
g_confirmed_days_invariant,r2_s_pcvt_w120_qv30_primary:d=3,,0,=0,passed,True,parameter_invariant_profile
g_confirmed_days_invariant,r2_s_pcvt_w120_q20_shared:d=3,,0,=0,passed,True,parameter_invariant_profile
g_confirmed_days_invariant,r2_s_pct_w250_q20_shared:d=3,,0,=0,passed,True,parameter_invariant_profile
g_confirmed_days_invariant,r2_s_pcvt_w120_qv30_primary:d=2,,0,=0,passed,True,parameter_invariant_profile
g_confirmed_days_invariant,r2_s_pct_w120_q20_shared:d=1,,0,=0,passed,True,parameter_invariant_profile
g_confirmed_days_invariant,r2_s_pct_w250_q20_shared:d=1,,0,=0,passed,True,parameter_invariant_profile
g_confirmed_days_invariant,r2_s_pcvt_w250_qv30_primary:d=1,,0,=0,passed,True,parameter_invariant_profile
g_confirmed_days_invariant,r2_s_pct_w120_qt25_primary:d=1,,0,=0,passed,True,parameter_invariant_profile
g_confirmed_days_invariant,r2_s_pct_w120_qt25_primary:d=3,,0,=0,passed,True,parameter_invariant_profile
