check_id,scope,observed_violations,expected_rule
d_retrospective_days_nonincreasing,r2_s_pct_w120_qt25_primary:g=2,0,=0
d_retrospective_days_nonincreasing,r2_s_pct_w250_q20_shared:g=0,0,=0
d_retrospective_days_nonincreasing,r2_s_pct_w250_q20_shared:g=1,0,=0
d_retrospective_days_nonincreasing,r2_s_pct_w250_q20_shared:g=2,0,=0
d_retrospective_days_nonincreasing,r2_s_pct_w250_qt25_primary:g=0,0,=0
d_retrospective_days_nonincreasing,r2_s_pct_w250_qt25_primary:g=1,0,=0
d_retrospective_days_nonincreasing,r2_s_pct_w250_qt25_primary:g=2,0,=0
d_retrospective_days_nonincreasing,r2_s_pcvt_w120_q20_shared:g=0,0,=0
d_retrospective_days_nonincreasing,r2_s_pcvt_w120_q20_shared:g=1,0,=0
d_retrospective_days_nonincreasing,r2_s_pcvt_w120_q20_shared:g=2,0,=0
d_retrospective_days_nonincreasing,r2_s_pcvt_w120_qv30_primary:g=0,0,=0
d_retrospective_days_nonincreasing,r2_s_pcvt_w120_qv30_primary:g=1,0,=0
d_retrospective_days_nonincreasing,r2_s_pcvt_w120_qv30_primary:g=2,0,=0
d_retrospective_days_nonincreasing,r2_s_pcvt_w250_q20_shared:g=0,0,=0
d_retrospective_days_nonincreasing,r2_s_pcvt_w250_q20_shared:g=1,0,=0
d_retrospective_days_nonincreasing,r2_s_pcvt_w250_q20_shared:g=2,0,=0
d_retrospective_days_nonincreasing,r2_s_pcvt_w250_qv30_primary:g=0,0,=0
d_retrospective_days_nonincreasing,r2_s_pcvt_w250_qv30_primary:g=1,0,=0
d_retrospective_days_nonincreasing,r2_s_pcvt_w250_qv30_primary:g=2,0,=0
g_asof_days_invariant,r2_s_pct_w120_q20_shared:d=1,0,=0
g_asof_days_invariant,r2_s_pct_w120_q20_shared:d=2,0,=0
g_asof_days_invariant,r2_s_pct_w120_q20_shared:d=3,0,=0
g_asof_days_invariant,r2_s_pct_w120_qt25_primary:d=1,0,=0
g_asof_days_invariant,r2_s_pct_w120_qt25_primary:d=2,0,=0
g_asof_days_invariant,r2_s_pct_w120_qt25_primary:d=3,0,=0
g_asof_days_invariant,r2_s_pct_w250_q20_shared:d=1,0,=0
g_asof_days_invariant,r2_s_pct_w250_q20_shared:d=2,0,=0
g_asof_days_invariant,r2_s_pct_w250_q20_shared:d=3,0,=0
g_asof_days_invariant,r2_s_pct_w250_qt25_primary:d=1,0,=0
g_asof_days_invariant,r2_s_pct_w250_qt25_primary:d=2,0,=0
g_asof_days_invariant,r2_s_pct_w250_qt25_primary:d=3,0,=0
g_asof_days_invariant,r2_s_pcvt_w120_q20_shared:d=1,0,=0
g_asof_days_invariant,r2_s_pcvt_w120_q20_shared:d=2,0,=0
g_asof_days_invariant,r2_s_pcvt_w120_q20_shared:d=3,0,=0
g_asof_days_invariant,r2_s_pcvt_w120_qv30_primary:d=1,0,=0
g_asof_days_invariant,r2_s_pcvt_w120_qv30_primary:d=2,0,=0
g_asof_days_invariant,r2_s_pcvt_w120_qv30_primary:d=3,0,=0
g_asof_days_invariant,r2_s_pcvt_w250_q20_shared:d=1,0,=0
g_asof_days_invariant,r2_s_pcvt_w250_q20_shared:d=2,0,=0
g_asof_days_invariant,r2_s_pcvt_w250_q20_shared:d=3,0,=0
g_asof_days_invariant,r2_s_pcvt_w250_qv30_primary:d=1,0,=0
g_asof_days_invariant,r2_s_pcvt_w250_qv30_primary:d=2,0,=0
g_asof_days_invariant,r2_s_pcvt_w250_qv30_primary:d=3,0,=0
g_bridge_count_nondecreasing,r2_s_pct_w120_q20_shared:d=1,0,=0
g_bridge_count_nondecreasing,r2_s_pct_w120_q20_shared:d=2,0,=0
g_bridge_count_nondecreasing,r2_s_pct_w120_q20_shared:d=3,0,=0
g_bridge_count_nondecreasing,r2_s_pct_w120_qt25_primary:d=1,0,=0
g_bridge_count_nondecreasing,r2_s_pct_w120_qt25_primary:d=2,0,=0
g_bridge_count_nondecreasing,r2_s_pct_w120_qt25_primary:d=3,0,=0
g_bridge_count_nondecreasing,r2_s_pct_w250_q20_shared:d=1,0,=0
g_bridge_count_nondecreasing,r2_s_pct_w250_q20_shared:d=2,0,=0
g_bridge_count_nondecreasing,r2_s_pct_w250_q20_shared:d=3,0,=0
g_bridge_count_nondecreasing,r2_s_pct_w250_qt25_primary:d=1,0,=0
g_bridge_count_nondecreasing,r2_s_pct_w250_qt25_primary:d=2,0,=0
g_bridge_count_nondecreasing,r2_s_pct_w250_qt25_primary:d=3,0,=0
g_bridge_count_nondecreasing,r2_s_pcvt_w120_q20_shared:d=1,0,=0
g_bridge_count_nondecreasing,r2_s_pcvt_w120_q20_shared:d=2,0,=0
g_bridge_count_nondecreasing,r2_s_pcvt_w120_q20_shared:d=3,0,=0
g_bridge_count_nondecreasing,r2_s_pcvt_w120_qv30_primary:d=1,0,=0
g_bridge_count_nondecreasing,r2_s_pcvt_w120_qv30_primary:d=2,0,=0
g_bridge_count_nondecreasing,r2_s_pcvt_w120_qv30_primary:d=3,0,=0
g_bridge_count_nondecreasing,r2_s_pcvt_w250_q20_shared:d=1,0,=0
g_bridge_count_nondecreasing,r2_s_pcvt_w250_q20_shared:d=2,0,=0
g_bridge_count_nondecreasing,r2_s_pcvt_w250_q20_shared:d=3,0,=0
g_bridge_count_nondecreasing,r2_s_pcvt_w250_qv30_primary:d=1,0,=0
g_bridge_count_nondecreasing,r2_s_pcvt_w250_qv30_primary:d=2,0,=0
g_bridge_count_nondecreasing,r2_s_pcvt_w250_qv30_primary:d=3,0,=0
g_bridged_days_nondecreasing,r2_s_pct_w120_q20_shared:d=1,0,=0
g_bridged_days_nondecreasing,r2_s_pct_w120_q20_shared:d=2,0,=0
g_bridged_days_nondecreasing,r2_s_pct_w120_q20_shared:d=3,0,=0
g_bridged_days_nondecreasing,r2_s_pct_w120_qt25_primary:d=1,0,=0
g_bridged_days_nondecreasing,r2_s_pct_w120_qt25_primary:d=2,0,=0
g_bridged_days_nondecreasing,r2_s_pct_w120_qt25_primary:d=3,0,=0
g_bridged_days_nondecreasing,r2_s_pct_w250_q20_shared:d=1,0,=0
g_bridged_days_nondecreasing,r2_s_pct_w250_q20_shared:d=2,0,=0
g_bridged_days_nondecreasing,r2_s_pct_w250_q20_shared:d=3,0,=0
g_bridged_days_nondecreasing,r2_s_pct_w250_qt25_primary:d=1,0,=0
g_bridged_days_nondecreasing,r2_s_pct_w250_qt25_primary:d=2,0,=0
g_bridged_days_nondecreasing,r2_s_pct_w250_qt25_primary:d=3,0,=0
g_bridged_days_nondecreasing,r2_s_pcvt_w120_q20_shared:d=1,0,=0
g_bridged_days_nondecreasing,r2_s_pcvt_w120_q20_shared:d=2,0,=0
