candidate_cell_id,route_id,candidate_role,state_line,W,d,g,execution_status
r2_s_pct_w250_q20_shared_d1_g1,r2_s_pct_w250_q20_shared,fallback,S_PCT,250,1,1,not_executed_contract_only
r2_s_pct_w250_q20_shared_d1_g2,r2_s_pct_w250_q20_shared,fallback,S_PCT,250,1,2,not_executed_contract_only
r2_s_pct_w250_q20_shared_d2_g0,r2_s_pct_w250_q20_shared,fallback,S_PCT,250,2,0,not_executed_contract_only
r2_s_pct_w250_q20_shared_d2_g1,r2_s_pct_w250_q20_shared,fallback,S_PCT,250,2,1,not_executed_contract_only
r2_s_pct_w250_q20_shared_d2_g2,r2_s_pct_w250_q20_shared,fallback,S_PCT,250,2,2,not_executed_contract_only
r2_s_pct_w250_q20_shared_d3_g0,r2_s_pct_w250_q20_shared,fallback,S_PCT,250,3,0,not_executed_contract_only
r2_s_pct_w250_q20_shared_d3_g1,r2_s_pct_w250_q20_shared,fallback,S_PCT,250,3,1,not_executed_contract_only
r2_s_pct_w250_q20_shared_d3_g2,r2_s_pct_w250_q20_shared,fallback,S_PCT,250,3,2,not_executed_contract_only
r2_s_pcvt_w120_q20_shared_d1_g0,r2_s_pcvt_w120_q20_shared,fallback,S_PCVT,120,1,0,not_executed_contract_only
r2_s_pcvt_w120_q20_shared_d1_g1,r2_s_pcvt_w120_q20_shared,fallback,S_PCVT,120,1,1,not_executed_contract_only
r2_s_pcvt_w120_q20_shared_d1_g2,r2_s_pcvt_w120_q20_shared,fallback,S_PCVT,120,1,2,not_executed_contract_only
r2_s_pcvt_w120_q20_shared_d2_g0,r2_s_pcvt_w120_q20_shared,fallback,S_PCVT,120,2,0,not_executed_contract_only
r2_s_pcvt_w120_q20_shared_d2_g1,r2_s_pcvt_w120_q20_shared,fallback,S_PCVT,120,2,1,not_executed_contract_only
r2_s_pcvt_w120_q20_shared_d2_g2,r2_s_pcvt_w120_q20_shared,fallback,S_PCVT,120,2,2,not_executed_contract_only
r2_s_pcvt_w120_q20_shared_d3_g0,r2_s_pcvt_w120_q20_shared,fallback,S_PCVT,120,3,0,not_executed_contract_only
r2_s_pcvt_w120_q20_shared_d3_g1,r2_s_pcvt_w120_q20_shared,fallback,S_PCVT,120,3,1,not_executed_contract_only
r2_s_pcvt_w120_q20_shared_d3_g2,r2_s_pcvt_w120_q20_shared,fallback,S_PCVT,120,3,2,not_executed_contract_only
r2_s_pcvt_w250_q20_shared_d1_g0,r2_s_pcvt_w250_q20_shared,fallback,S_PCVT,250,1,0,not_executed_contract_only
r2_s_pcvt_w250_q20_shared_d1_g1,r2_s_pcvt_w250_q20_shared,fallback,S_PCVT,250,1,1,not_executed_contract_only
r2_s_pcvt_w250_q20_shared_d1_g2,r2_s_pcvt_w250_q20_shared,fallback,S_PCVT,250,1,2,not_executed_contract_only
r2_s_pcvt_w250_q20_shared_d2_g0,r2_s_pcvt_w250_q20_shared,fallback,S_PCVT,250,2,0,not_executed_contract_only
r2_s_pcvt_w250_q20_shared_d2_g1,r2_s_pcvt_w250_q20_shared,fallback,S_PCVT,250,2,1,not_executed_contract_only
r2_s_pcvt_w250_q20_shared_d2_g2,r2_s_pcvt_w250_q20_shared,fallback,S_PCVT,250,2,2,not_executed_contract_only
r2_s_pcvt_w250_q20_shared_d3_g0,r2_s_pcvt_w250_q20_shared,fallback,S_PCVT,250,3,0,not_executed_contract_only
r2_s_pcvt_w250_q20_shared_d3_g1,r2_s_pcvt_w250_q20_shared,fallback,S_PCVT,250,3,1,not_executed_contract_only
r2_s_pcvt_w250_q20_shared_d3_g2,r2_s_pcvt_w250_q20_shared,fallback,S_PCVT,250,3,2,not_executed_contract_only
